instance_id,system,score
r-0201,R2,0
r-0202,R2,0
r-0203,R2,0
r-0204,R2,0
r-0205,R2,0
r-0206,R2,0
r-0207,R2,0
r-0208,R2,0
r-0209,R2,0
r-0210,R2,0
r-0211,R2,0
r-0212,R2,0
r-0213,R2,0
r-0214,R2,0
r-0215,R2,1
r-0216,R2,1
r-0217,R2,0
r-0218,R2,0
r-0219,R2,0
r-0220,R2,0
r-0221,R2,0
r-0222,R2,0
r-0223,R2,0
r-0224,R2,0
r-0225,R2,0
r-0226,R2,0
r-0227,R2,0
r-0228,R2,0
r-0229,R2,0
r-0230,R2,1
r-0231,R2,0
r-0232,R2,0
r-0233,R2,0
r-0234,R2,0
r-0235,R2,0
r-0236,R2,0
r-0237,R2,0
r-0238,R2,0
r-0239,R2,1
r-0240,R2,0
r-0241,R2,0
r-0242,R2,0
r-0243,R2,0
r-0244,R2,0
r-0245,R2,0
r-0246,R2,0
r-0247,R2,1
r-0248,R2,0
r-0249,R2,1
r-0250,R2,0
r-0251,R2,0
r-0252,R2,0
r-0253,R2,0
r-0254,R2,0
r-0255,R2,0
r-0256,R2,1
r-0257,R2,0
r-0258,R2,0
r-0259,R2,0
r-0260,R2,0
r-0261,R2,0
r-0262,R2,1
r-0263,R2,0
r-0264,R2,0
r-0265,R2,1
r-0266,R2,0
r-0267,R2,0
r-0268,R2,0
r-0269,R2,0
r-0270,R2,0
r-0271,R2,0
r-0272,R2,0
r-0273,R2,0
r-0274,R2,0
r-0275,R2,0
r-0276,R2,0
r-0277,R2,0
r-0278,R2,0
r-0279,R2,0
r-0280,R2,0
r-0281,R2,1
r-0282,R2,1
r-0283,R2,0
r-0284,R2,0
r-0285,R2,0
r-0286,R2,0
r-0287,R2,1
r-0288,R2,1
r-0289,R2,0
r-0290,R2,0
r-0291,R2,0
r-0292,R2,1
r-0293,R2,0
r-0294,R2,0
r-0295,R2,0
r-0296,R2,0
r-0297,R2,1
r-0298,R2,0
r-0299,R2,1
r-0300,R2,0
r-0301,R2,0
r-0302,R2,0
r-0303,R2,0
r-0304,R2,0
r-0305,R2,0
r-0306,R2,1
r-0307,R2,1
r-0308,R2,0
r-0309,R2,1
r-0310,R2,1
r-0311,R2,0
r-0312,R2,0
r-0313,R2,1
r-0314,R2,0
r-0315,R2,0
r-0316,R2,1
r-0317,R2,0
r-0318,R2,1
r-0319,R2,0
r-0320,R2,0
r-0321,R2,0
r-0322,R2,1
r-0323,R2,1
r-0324,R2,0
r-0325,R2,1
r-0326,R2,0
r-0327,R2,0
r-0328,R2,1
r-0329,R2,0
r-0330,R2,0
r-0331,R2,0
r-0332,R2,0
r-0333,R2,0
r-0334,R2,0
r-0335,R2,1
r-0336,R2,0
r-0337,R2,0
r-0338,R2,1
r-0339,R2,0
r-0340,R2,0
r-0341,R2,1
r-0342,R2,0
r-0343,R2,0
r-0344,R2,1
r-0345,R2,0
r-0346,R2,0
r-0347,R2,1
r-0348,R2,1
r-0349,R2,1
r-0350,R2,0
r-0201,R4,0
r-0202,R4,0
r-0203,R4,1
r-0204,R4,0
r-0205,R4,0
r-0206,R4,0
r-0207,R4,0
r-0208,R4,0
r-0209,R4,0
r-0210,R4,0
r-0211,R4,0
r-0212,R4,0
r-0213,R4,0
r-0214,R4,0
r-0215,R4,0
r-0216,R4,0
r-0217,R4,0
r-0218,R4,0
r-0219,R4,0
r-0220,R4,0
r-0221,R4,0
r-0222,R4,0
r-0223,R4,0
r-0224,R4,0
r-0225,R4,0
r-0226,R4,0
r-0227,R4,0
r-0228,R4,0
r-0229,R4,0
r-0230,R4,0
r-0231,R4,0
r-0232,R4,0
r-0233,R4,0
r-0234,R4,0
r-0235,R4,0
r-0236,R4,0
r-0237,R4,0
r-0238,R4,0
r-0239,R4,0
r-0240,R4,0
r-0241,R4,0
r-0242,R4,0
r-0243,R4,0
r-0244,R4,0
r-0245,R4,0
r-0246,R4,0
r-0247,R4,0
r-0248,R4,0
r-0249,R4,0
r-0250,R4,0
r-0251,R4,0
r-0252,R4,0
r-0253,R4,0
r-0254,R4,0
r-0255,R4,1
r-0256,R4,0
r-0257,R4,0
r-0258,R4,0
r-0259,R4,0
r-0260,R4,0
r-0261,R4,0
r-0262,R4,0
r-0263,R4,0
r-0264,R4,0
r-0265,R4,0
r-0266,R4,0
r-0267,R4,0
r-0268,R4,0
r-0269,R4,0
r-0270,R4,0
r-0271,R4,0
r-0272,R4,0
r-0273,R4,0
r-0274,R4,0
r-0275,R4,0
r-0276,R4,0
r-0277,R4,1
r-0278,R4,0
r-0279,R4,0
r-0280,R4,0
r-0281,R4,0
r-0282,R4,0
r-0283,R4,0
r-0284,R4,0
r-0285,R4,0
r-0286,R4,0
r-0287,R4,0
r-0288,R4,0
r-0289,R4,0
r-0290,R4,0
r-0291,R4,0
r-0292,R4,0
r-0293,R4,0
r-0294,R4,0
r-0295,R4,0
r-0296,R4,0
r-0297,R4,0
r-0298,R4,0
r-0299,R4,0
r-0300,R4,0
r-0301,R4,0
r-0302,R4,0
r-0303,R4,0
r-0304,R4,0
r-0305,R4,0
r-0306,R4,0
r-0307,R4,0
r-0308,R4,0
r-0309,R4,0
r-0310,R4,0
r-0311,R4,0
r-0312,R4,0
r-0313,R4,0
r-0314,R4,0
r-0315,R4,0
r-0316,R4,0
r-0317,R4,0
r-0318,R4,0
r-0319,R4,0
r-0320,R4,0
r-0321,R4,0
r-0322,R4,0
r-0323,R4,0
r-0324,R4,0
r-0325,R4,0
r-0326,R4,0
r-0327,R4,0
r-0328,R4,0
r-0329,R4,0
r-0330,R4,0
r-0331,R4,0
r-0332,R4,0
r-0333,R4,0
r-0334,R4,0
r-0335,R4,0
r-0336,R4,0
r-0337,R4,0
r-0338,R4,0
r-0339,R4,0
r-0340,R4,0
r-0341,R4,0
r-0342,R4,0
r-0343,R4,0
r-0344,R4,0
r-0345,R4,0
r-0346,R4,0
r-0347,R4,0
r-0348,R4,0
r-0349,R4,0
r-0350,R4,0
