rung,scenario_id,trial,verdict
R2,r-0201,1,1
R2,r-0201,2,1
R2,r-0201,3,0
R2,r-0202,1,1
R2,r-0202,2,1
R2,r-0202,3,0
R2,r-0203,1,1
R2,r-0203,2,1
R2,r-0203,3,0
R2,r-0204,1,1
R2,r-0204,2,0
R2,r-0204,3,1
R2,r-0205,1,0
R2,r-0205,2,1
R2,r-0205,3,0
R2,r-0206,1,1
R2,r-0206,2,0
R2,r-0206,3,1
R2,r-0207,1,1
R2,r-0207,2,1
R2,r-0207,3,0
R2,r-0208,1,0
R2,r-0208,2,1
R2,r-0208,3,1
R2,r-0209,1,0
R2,r-0209,2,1
R2,r-0209,3,0
R2,r-0210,1,1
R2,r-0210,2,0
R2,r-0210,3,1
R2,r-0211,1,1
R2,r-0211,2,1
R2,r-0211,3,0
R2,r-0212,1,0
R2,r-0212,2,1
R2,r-0212,3,1
R2,r-0213,1,1
R2,r-0213,2,1
R2,r-0213,3,0
R2,r-0214,1,1
R2,r-0214,2,0
R2,r-0214,3,1
R2,r-0215,1,1
R2,r-0215,2,1
R2,r-0215,3,1
R2,r-0216,1,1
R2,r-0216,2,1
R2,r-0216,3,1
R2,r-0217,1,0
R2,r-0217,2,0
R2,r-0217,3,1
R2,r-0218,1,0
R2,r-0218,2,1
R2,r-0218,3,1
R2,r-0219,1,0
R2,r-0219,2,1
R2,r-0219,3,1
R2,r-0220,1,0
R2,r-0220,2,1
R2,r-0220,3,0
R2,r-0221,1,1
R2,r-0221,2,1
R2,r-0221,3,0
R2,r-0222,1,1
R2,r-0222,2,0
R2,r-0222,3,1
R2,r-0223,1,1
R2,r-0223,2,0
R2,r-0223,3,0
R2,r-0224,1,0
R2,r-0224,2,1
R2,r-0224,3,1
R2,r-0225,1,0
R2,r-0225,2,0
R2,r-0225,3,0
R2,r-0226,1,1
R2,r-0226,2,0
R2,r-0226,3,1
R2,r-0227,1,0
R2,r-0227,2,0
R2,r-0227,3,0
R2,r-0228,1,1
R2,r-0228,2,1
R2,r-0228,3,0
R2,r-0229,1,0
R2,r-0229,2,1
R2,r-0229,3,0
R2,r-0230,1,1
R2,r-0230,2,1
R2,r-0230,3,1
R2,r-0231,1,1
R2,r-0231,2,0
R2,r-0231,3,1
R2,r-0232,1,0
R2,r-0232,2,1
R2,r-0232,3,1
R2,r-0233,1,1
R2,r-0233,2,0
R2,r-0233,3,1
R2,r-0234,1,0
R2,r-0234,2,1
R2,r-0234,3,0
R2,r-0235,1,1
R2,r-0235,2,0
R2,r-0235,3,0
R2,r-0236,1,1
R2,r-0236,2,0
R2,r-0236,3,1
R2,r-0237,1,0
R2,r-0237,2,1
R2,r-0237,3,1
R2,r-0238,1,0
R2,r-0238,2,1
R2,r-0238,3,0
R2,r-0239,1,1
R2,r-0239,2,1
R2,r-0239,3,1
R2,r-0240,1,1
R2,r-0240,2,0
R2,r-0240,3,0
R2,r-0241,1,0
R2,r-0241,2,1
R2,r-0241,3,1
R2,r-0242,1,0
R2,r-0242,2,0
R2,r-0242,3,0
R2,r-0243,1,1
R2,r-0243,2,1
R2,r-0243,3,0
R2,r-0244,1,1
R2,r-0244,2,0
R2,r-0244,3,1
R2,r-0245,1,0
R2,r-0245,2,0
R2,r-0245,3,1
R2,r-0246,1,0
R2,r-0246,2,1
R2,r-0246,3,1
R2,r-0247,1,1
R2,r-0247,2,1
R2,r-0247,3,1
R2,r-0248,1,0
R2,r-0248,2,1
R2,r-0248,3,0
R2,r-0249,1,1
R2,r-0249,2,1
R2,r-0249,3,1
R2,r-0250,1,1
R2,r-0250,2,0
R2,r-0250,3,1
R2,r-0251,1,1
R2,r-0251,2,0
R2,r-0251,3,0
R2,r-0252,1,0
R2,r-0252,2,0
R2,r-0252,3,1
R2,r-0253,1,0
R2,r-0253,2,1
R2,r-0253,3,1
R2,r-0254,1,0
R2,r-0254,2,1
R2,r-0254,3,1
R2,r-0255,1,0
R2,r-0255,2,0
R2,r-0255,3,1
R2,r-0256,1,1
R2,r-0256,2,1
R2,r-0256,3,1
R2,r-0257,1,1
R2,r-0257,2,1
R2,r-0257,3,0
R2,r-0258,1,1
